chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,theta
r2000_c1600,2000,1600,3d,weibull,0.9863031569901409,0.43721368568166036,0.2115854754850827,0.17749102212146464,0.8388620330131225,0.3086571907342191,0.2944877484252645,60833.21851088115,,True,73.39758683416656,27938,1.3774171945142903,172.5026292406055,172.98455949655775,174.78529217421064,0.1,1.4756139106014863,0.041009206109734665,0.10610532258198956,0.0720948086873786,0.2831696163102267,0.044198095514230665,0.10305050586740543,3.5707369679374716,0.7485758711711051,3.4772607112001195,1.5892753996453486,508.22417935415274,3.5707369679374716,73.39758683416656
r2000_c1600,2000,1600,2d,weibull,,0.2631901253717931,,,,0.30130299368397173,0.3104019291649869,33461.44903112913,,True,,15220,,173.0186622403586,,,0.1,1.4827401435142,,,,,0.04223031826638011,0.07712565407195467,,,2.9040921337128283,,,,
r2000_c2000,2000,2000,3d,powerlaw,0.8978625588144908,nan,0.3582746464028604,0.17089863112419454,0.47700453504049606,0.22893713644452549,0.2955701984878801,194540.3062461285,,True,57.54946897681907,27938,0.28622613726530144,176.26416937923022,173.3691811851236,-173.62989814693807,0.1,2.6388040447663186,0.07165334878097339,0.11190115020387706,0.05696528089523916,0.09471049237953033,0.04174998165007733,0.04190226299182285,6.273211757068633,0.3985319873012976,2.5147647258971952,2.3111615951859896,5.973813214934693,6.273211757068633,57.54946897681907
r2000_c2000,2000,2000,2d,powerlaw,,nan,,,,0.26128589098381483,0.31287545378840764,181326.9008295174,,True,,15220,,176.64234537846372,,,0.1,3.451626488464304,,,,,0.03936912328935572,0.03561887179549532,,,2.3008236840230643,,,,
r2000_c2000,2000,2000,3d,weibull,0.8957771450099199,0.6104598682549686,0.36141717384918953,0.17167142599868787,0.4749952089170011,0.23187095656153625,0.29513594426651757,194480.83191328368,,True,57.52798276344321,27938,0.273271820128842,176.29161309622418,173.3288725789269,-173.49923755210372,0.1,2.6384006499381845,0.07343207658890762,0.11439118665608826,0.05668709907702651,0.08517869488079968,0.03578406850027928,0.03709757908271981,6.240258081537562,0.3908537832958083,2.562822713860296,2.199651309156806,5.970165660474365,6.240258081537562,57.52798276344321
r2000_c2000,2000,2000,2d,weibull,,0.252032811820946,,,,0.26669440357163754,0.31279884003585295,181042.06456898534,,True,,15220,,176.6573325805773,,,0.1,3.448914439744732,,,,,0.04015754182157132,0.032985799009787264,,,2.3146611249083424,,,,
r2000_c2400,2000,2400,3d,powerlaw,0.9797901879551325,nan,0.18898947369711538,0.12580568849939325,0.6656756381099624,0.5374448711600873,0.5730802990605873,66294.61087981192,,True,66.29789234441925,27938,1.259111203253525,6.633888613391979,176.96111030990528,75.5212610395349,0.1,1.5404281855739284,0.027480702362845746,0.10787153412031257,0.07445552358871754,0.11254903186630927,0.05510421693360758,0.10921457409751285,1.8336039090643452,0.5546923596885156,8.288136290601846,2.089816018895608,16.360009286344503,1.8336039090643452,66.29789234441925
r2000_c2400,2000,2400,2d,powerlaw,,nan,,,,0.5604406807350494,0.5861533450848897,38591.03702264726,,True,,15220,,7.281223201181388,,,0.1,1.59234034288692,,,,,0.04271348492608606,0.10035407659751346,,,7.399336779755754,,,,
r2000_c2400,2000,2400,3d,weibull,0.9788062960928476,0.48455611240867236,0.1894906423461219,0.12260332118651603,0.647015175359266,0.684100875498494,0.5765780800190813,54376.5752411101,,True,66.34438427176686,27938,1.2280301066421027,7.5875907001044585,176.6222584673438,74.95258290118066,0.1,1.39510941350491,0.02188821123196722,0.08370140118304958,0.057694630364685834,0.11046346448443888,0.08828394484182425,0.11076243462340109,1.7113247925256267,0.4497603302459571,8.024668208005131,1.8823799577867653,15.795209990117742,1.7113247925256267,66.34438427176686
r2000_c2400,2000,2400,2d,weibull,,0.11875917481983955,,,,0.639741674996493,0.5577238163911102,32131.95745345427,,True,,15220,,7.417259936524044,,,0.1,1.4529854501546084,,,,,0.04424937118218828,0.0885113971565268,,,6.647831590110762,,,,
r2000_c2800,2000,2800,3d,powerlaw,0.9641505064935402,nan,0.2720818307815461,0.19899401898264574,0.7313756247928868,0.6190597070737326,0.4240839969375039,210374.3530241297,,True,75.94892047720262,27938,0.9888243088678887,6.36851478966617,-173.5237162736451,-89.58126105701949,0.1,2.7440924580689985,0.02600518287131184,0.0480973363733466,0.03678415566596289,0.1556415410481955,0.030929419178938492,0.12601428440746346,3.177736053552896,0.3422356110604279,4.562507664105795,3.6633434813952257,11.123798197453688,3.177736053552896,75.94892047720262
r2000_c2800,2000,2800,2d,powerlaw,,nan,,,,0.6884036774337039,0.4620110470350967,137917.0447502524,,True,,15220,,7.578712224898735,,,0.1,3.010243623389725,,,,,0.02501204452033764,0.12843614204689652,,,4.249529526375183,,,,
r2000_c2800,2000,2800,3d,weibull,0.9704906919766151,0.21198464908872872,0.23240155978485577,0.15889044683310974,0.6836892445136836,0.9419632072943129,0.44402461160392065,126241.7247403288,,True,74.73496361528449,27938,1.0790367569070938,6.786061189634117,-174.4218754875008,-93.25191727381231,0.1,2.125708960159726,0.015069422331113304,0.029346003886821778,0.042614574743551854,0.16648238479112823,0.13407347729943506,0.12454847182961656,2.4817439585397705,0.2815974448265443,4.470946305809982,3.6086950277352283,10.344897406305888,2.4817439585397705,74.73496361528449
r2000_c2800,2000,2800,2d,weibull,,0.11495655161607975,,,,0.8515278588892472,0.4261831296663205,97852.13431924439,,True,,15220,,7.4060434691449695,,,0.1,2.535582963955004,,,,,0.03644251494634904,0.10550975319026702,,,4.1134481436432235,,,,
