row,col,parent_chunk,parent_snr,coverage,n_ok,central_ok,r21_c,r21_jk,r21_se,r32_c,r32_jk,r32_se,cov_ab,a1_c,a1_jk,a1_se,alpha_c,beta_c,chi2_c,pull21,pull32,wall_s
2400,1800,54,5.06145,1.0,4,True,0.31843136636853486,0.3532909285267286,0.07823605726560426,0.5819408319811566,0.5381280999272952,0.09542393865879668,-0.003404031057128992,3.7229628842244957,3.4085543195370027,0.9486754690853146,0.415790607834508,9.999999999999998,0.9409278570446298,0.4455690045812089,-0.4591377454091558,52.9019501209259
2400,2000,55,5.18143,1.0,4,True,0.3105252955331352,0.45511632007438113,0.21252102315961544,0.6136844554256963,0.579620601964799,0.16882604115529964,-0.021574945570526242,3.386989517961232,2.319112257293381,1.6704730847615725,0.45774013175168565,9.999999999999998,0.5208649169926847,0.6803610409528748,-0.20176895239498388,81.87024092674255
2400,2200,55,5.18143,1.0,4,True,0.17954231039667426,0.17713365453472696,0.05183671574656771,0.7148628281519467,0.675353696479058,0.06130781130381608,-0.0004010983089892631,0.969356378536324,1.0376857896755383,0.4917383538048436,0.4901568921017828,9.99999996762446,0.7608269126236288,-0.04646621274625768,-0.6444387890002768,70.76626920700073
2400,2400,56,4.51207,1.0,4,True,0.5213055209267728,0.504750130296368,0.2143733979142096,0.3947583062130159,0.42287418414130373,0.166864784678587,-0.03386414973851018,2.4628387232185225,2.6315080466698046,1.4868219839746797,0.41131300219149414,9.999999999999998,1.2940873654265121,-0.07722688911723191,0.1684949762314698,71.95893502235413
2400,2600,56,4.51207,1.0,4,True,0.6273620255364748,0.4954713178021359,0.20264882222387498,0.23372235476689027,0.2620334505455034,0.13454061380814303,-0.016580470152938197,0.5013457314239624,1.6204795003086032,2.1889186936596885,0.6532946006835185,1.0000000000044567,1.0403176300834591,-0.6508338231970255,0.21042787733215793,60.67105722427368
2400,2800,57,4.66889,1.0,4,True,0.400792122047523,0.3943045127829212,0.13133836527280165,0.6308793506695605,0.596031081770505,0.16967506538314328,-0.018966287518461616,0.20986883531933273,0.37750177111044814,0.41109080430137546,0.6792695320027287,1.0,1.6039686050906967,-0.04939614750896617,-0.2053823808487392,43.04072380065918
2400,3000,57,4.66889,1.0,4,True,0.5152601186030197,0.5220359195087102,0.22601888334541104,0.29746344674776876,0.2866885528990419,0.03640376746933196,0.0019100946620362526,0.35109299438054364,0.3740214784240217,0.17702520044002734,0.5621362364195034,9.999999999999998,0.5668416120953941,0.029978915059656643,-0.2959829324754393,54.112289905548096
2400,3200,58,5.19339,1.0,4,True,0.40157556169280884,0.3536014300083999,0.1886029867464287,0.2880058757266312,0.22759225764329985,0.25562225255527454,0.038624916352268765,0.2949120941069203,0.5876582554880574,0.6233822601809133,0.5450849241457285,1.0,1.403091316164682,-0.25436570497639466,-0.23633943242193994,51.545223236083984
2400,3400,58,5.19339,1.0,4,True,0.24485527056185866,0.1947991896294209,0.2189766568864273,0.3011390022048785,0.44340729346311764,0.5782594119247733,0.04086030273490095,15.929334813295,8.818135112789054,15.179474308316856,0.4693562135504836,1.0000000000004858,1.23809021513759,-0.22859094500835062,0.2460284922725081,64.59566378593445
2400,3600,59,4.5426,1.0,4,True,0.05608883316286151,0.023964582144430174,0.06320090732651501,0.00024340484681948697,0.0020660044052499852,0.006109168686506523,-0.00010708538358489647,3.9939430179305084,33.03304396251681,45.73935643806731,0.6573987572074959,1.9362355774837772,1.3010609335533019,-0.5082878138515913,0.2983383913520215,39.68151926994324
2400,3800,59,4.5426,1.0,4,True,0.034603322754043396,0.2868165810667267,0.4981495199336068,0.004798845166371697,0.00012145200040674922,0.0002880857042217828,0.00011184649856033418,5.193745672688023,1715.8455855568552,3879.0665992132404,0.6815514806303015,2.130618801204031,2.044590254845648,0.5063003139023364,-16.23611688264842,45.919777154922485
2400,4000,60,4.05736,1.0,4,True,0.004860533448214946,0.4162474100754977,0.4086149361345168,0.0018522174896021103,0.309401854758441,0.4625944947755423,-0.1873031503165753,13.189656838131748,0.2666974031555481,0.03902898180239539,0.7080152989610158,2.6123022082726677,1.5571247074694181,1.0067837473563457,0.6648363539606464,72.47599792480469
2400,4200,60,4.05736,1.0,4,True,0.15537741019709944,0.1677335451195906,0.0699399451593764,0.7883993841684093,0.47831807781594526,0.5102796252775312,-0.0323463851939995,0.2387243005982748,0.5177040462702119,0.4277732539011276,0.8202401000276299,1.0,1.8500290490077538,0.17666778111327486,-0.607669385552709,57.996042013168335
2400,4400,61,4.62391,1.0,4,True,0.2244694711298115,0.2364752228412057,0.33887002079766954,0.3648684227019944,0.36211341158471666,0.08784814802912336,0.012747331941329477,1.789392704750857,50.2357837726525,143.92384869451018,0.6706337612443477,1.000000000000007,2.3805290204065157,0.03542878087336774,-0.0313610608656699,78.16257405281067
2400,4600,61,4.62391,1.0,4,True,0.17026776280911926,0.15571092112874713,0.26467177852675566,0.2627764028696405,0.2494595130591796,0.19011332897962477,0.049133587184348765,1.3239361065658732,37.36107121255754,71.02673853922974,0.5787261147834004,9.99999999990285,4.215465391002711,-0.05499959898029167,-0.07004711285597506,83.17106103897095
2400,800,52,4.76024,1.0,4,False,0.0651296182844403,0.16402589697133052,0.28344846591006234,0.32898166515122423,0.3258523665447315,0.07812096751057619,-0.0028444624238455948,8.351205637310832,291.32724790826506,601.6598874339514,0.15459651923731418,9.999999999999998,1.3871527458013813,0.34890391228389933,-0.040057089744428676,494.27594208717346
2600,1000,52,4.76024,1.0,4,True,0.4420484059159317,0.38406600285396697,0.45573270890328843,0.26528693406924364,0.19687024540690862,0.20007862440293778,0.08441297434932492,0.7092298118900631,8.271143719801922,21.832854065677267,0.6519186556946953,1.0000000000000258,0.6802181627344003,-0.12722896980885617,-0.34194901562573143,41.51236033439636
2600,1200,53,5.15417,1.0,4,True,0.35039477973773364,0.12724410923593696,0.35563568299442005,0.27107030463157217,0.07561353862945178,0.22236477577716965,0.0790387568848522,0.35452861991802853,23.68347206415408,38.28574786372854,0.8261578372866305,1.0308104790359691,0.990739225103517,-0.627469855170011,-0.8789915818231319,38.27262306213379
