chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
37,2000,400,1.74379,0.247476,0.127291,0.514356,0.56207,4.366381980252933,2.214124406648288,0.7996086779181933,6.822471844145207,0.21077433963029543,9.999999999999998,0.8173557305545868,0.8258637183764268,True
31,1600,3200,1.74897,0.246372,0.102904,0.417677,0.492549,0.4221306167075841,0.3555018041126925,0.1876097045673108,0.6595790886056002,0.12009805877083471,9.999999999999652,0.43352541913717724,0.09420777309068808,True
20,1200,3200,1.78154,0.239586,0.109544,0.457221,0.481977,3.481014065587355,1.1655938502874295,0.7439430355209339,5.439084477480242,0.12466893261708291,1.0000000004289962,0.5852530433168823,0.23889669731673008,True
23,1200,4400,1.78936,0.237994,0.107297,0.450839,0.480451,1.0256075030676481,0.367606115622956,0.10449160954571844,1.6025117235432003,0.1280784739331782,9.99999999999985,0.4585959798426443,0.07172263176489291,True
21,1200,3600,1.79112,0.237637,0.111059,0.467348,0.494924,0.6787971712348653,0.4074729182987642,0.1554426701713833,1.060620580054477,0.14969352266099883,1.7350926376156643,0.48712134938969903,0.05829765424305206,True
26,1600,1200,1.80346,0.235158,0.092008,0.39126,0.414548,4.873757331974358,2.015465274649364,1.1022809250389822,7.615245831209934,0.13059657824114226,9.999999847865347,0.4922879368665238,0.23947291093262008,True
38,2000,800,1.8195,0.231988,0.100689,0.434028,0.479706,4.119541035953393,1.7981502933033298,1.0521694226084384,6.436782868677176,0.15703434193066976,9.999999999996437,0.6080185408448014,0.3721263777869597,True
25,1600,800,1.82431,0.231047,0.113701,0.49211,0.468822,0.38201060392258257,0.19208956098222396,0.13314540252227058,0.5968915686290353,0.14915176606989963,1.0,0.5172762759712801,0.7630288164826157,True
103,4000,2400,1.83562,0.228858,0.0983224,0.429621,0.453589,4.775405112215717,2.253666233593252,0.8081697341354713,7.461570487837057,0.14089244157173605,9.999999174219228,0.5660606010910205,0.4381720238651789,True
99,3600,4000,1.86843,0.222665,0.105625,0.474366,0.544534,4.44471720955257,2.6465005392738896,1.0965123103603234,6.94487063992589,0.2444170495517464,9.999999985641377,0.8182901984082566,0.23901280407254524,True
101,3600,4800,1.92212,0.213014,0.104831,0.492134,0.520487,1.3125499553850397,0.7583229511328288,0.3043560782782126,2.0508593052891246,0.22000222439568778,9.999999999999993,0.6379925655473987,0.32053822253257125,True
18,1200,2400,1.94286,0.209437,0.10851,0.518103,0.50291,3.3317636384458162,1.523407135405852,1.408728113435107,5.2058806850715875,0.18022093046273352,9.99999094492514,0.7620560822617113,0.19924786496611266,True
22,1200,4000,1.96125,0.206335,0.0985005,0.477382,0.502255,0.6165634852342874,0.36508402903638426,0.21479863656393633,0.9633804456785741,0.18020746672661106,9.999999999999998,0.4883377533428253,0.0947634490249495,True
15,1200,1200,1.99973,0.200043,0.118832,0.594032,0.498699,3.8838054957803227,1.8041436938091076,0.9653390499532738,6.0684460871567545,0.22848444343080038,9.99999999999999,0.917620241559915,0.7112232215022841,True
105,4000,3200,2.0066,0.198948,0.120788,0.607134,0.656443,8.112725708789222,4.0988738908578535,1.1356750244173752,12.67613391998316,0.2723225389607452,9.999999999999998,1.0199757329648724,0.5697252384133612,True
49,2000,5200,2.04904,0.19236,0.10607,0.551412,0.554772,22.644493363147113,1.3227559117596406,0.8438589578808006,35.38202087991736,0.255583080215544,9.999999999999998,1.0089434382831626,2.2948053131215427,True
35,1600,4800,2.10146,0.184633,0.0802035,0.434394,0.474682,0.6139777040081497,0.3577113214570675,0.14110684918554925,0.9593401625127338,0.22927538105451475,9.999999999438296,0.45073079778504976,0.1667741531990712,True
100,3600,4400,2.11455,0.182771,0.0985898,0.539418,0.603162,3.2551698842451136,2.665175494007984,1.2135979786707227,5.08620294413299,0.26038678337213744,9.99999999611086,0.8726373747230305,0.22784881434124357,True
32,1600,3600,2.11884,0.182167,0.107477,0.58999,0.585199,3.9266699110370897,2.1027034382705683,1.231900217525273,6.135421735995452,0.20829620500250504,9.999999585807709,0.8443845541852982,0.13323362364913174,True
48,2000,4800,2.11981,0.18203,0.088499,0.486178,0.509013,0.6322398986877316,0.4170013873772595,0.07042877185220328,0.9878748416995805,0.20201056512686158,9.999707132256889,0.5406201083618398,1.227625260119406,True
19,1200,2800,2.20626,0.170428,0.107918,0.633221,0.506183,1.1041756130246843,0.37439338347580364,0.12203950656790107,1.7252743953510692,0.2475312806686799,3.3327698457679955,0.6864845707559899,0.12071052612082066,True
