chunk,row,col,central_ok,converged,fit_stride,a1,a2a1,a3a2,alpha,beta,var_inf,rms,se_a2a1,se_a3a2,se_a1,n_ok,wall_s,alpha_bad,ratio_bad,degen
r3200_c4000,3200,4000,True,True,2,1.1420870970270227,0.2473699334288577,0.49276426893262787,0.4431536782669489,9.999999999999647,1.1118362137585194,1.6613463085934788,0.06414330562632753,0.24984784306040037,0.8676939255761567,4,52.399261236190796,False,False,False
r3200_c400,3200,400,True,True,2,5.128699490189147,0.3470484862640099,0.5316939821266715,0.331757502538408,9.999999998357108,2.2987129399142066,3.0350645906658804,0.2842195740849444,0.22159926042972716,12.872479611896868,4,75.64123487472534,False,False,False
r3200_c4400,3200,4400,True,True,2,0.936055030588666,0.4342918119564865,0.3021105861341968,0.34165947076868103,1.1413554744872645,0.983739829358977,1.2395074655881742,0.049108442245933914,0.07190640518320127,0.2617629247745617,4,67.82122111320496,False,False,False
r3200_c4800,3200,4800,True,True,2,4.305773757190542,0.10473180386832687,0.43275051069205245,0.34566490515098525,9.999999999999856,1.1698969714074692,1.6447724310214833,0.2991757157635753,0.17843030581806138,12.741145149441378,4,62.45687985420227,False,False,False
r3200_c5200,3200,5200,True,True,2,7.560112788356904,0.32430778674553834,0.3877698629771202,0.21228512872693123,9.999999915966525,1.1534690879031735,1.5972975363040118,0.1931767938761303,0.09399314861664124,1.4255870722424209,4,73.55401110649109,False,False,False
r3200_c800,3200,800,True,True,2,20.177945338806776,0.08473616882818308,0.5838378281603812,0.4910439160517363,9.999999999999998,3.7324578829193586,2.1393659656485586,0.1828877996243827,0.2011064520318933,1.294590521944749,4,79.6942207813263,False,False,False
r3600_c1200,3600,1200,True,True,2,91.59177462845516,0.0024326631022728363,0.0,0.05650704486246998,9.999999999999998,0.3622562627929203,1.7392358872855083,0.0003555178212506107,4.603461416419759e-48,1162.0549421601681,4,32.73700833320618,False,True,True
r3600_c1600,3600,1600,True,True,2,904.0363146213974,0.001642335246437747,1.3213193959195154e-45,0.03041559562147981,1.1799439075104818,0.3254635554002013,1.8907653649055718,0.22700904603847658,2.893015810569506e-74,536.7447823679273,4,42.96155595779419,False,True,True
r3600_c2000,3600,2000,True,True,2,8.532468314912274,0.30123440077055574,0.00045525107118968424,0.0595397173934594,9.994232379101192,0.3388773744014419,3.5536868381189337,0.24085361857785825,0.4677328711387704,989.3862245102573,4,46.28889226913452,False,True,True
r3600_c2400,3600,2400,True,True,2,5.789661772423211,0.08418459267407796,0.012142432400291399,0.0359034816726297,9.999999962932263,0.25718586709917524,1.0778070269829778,0.5121851516423187,0.29481623513241545,2188.4278527003366,4,45.04716682434082,False,False,False
r3600_c2800,3600,2800,True,True,2,3.619602052962787,0.6748555207732765,0.4747474108922303,0.03524516306030384,9.999999999892905,0.27748269719963964,0.7612345719053801,0.08328261105792341,0.1067568057770136,1.732350966806905,4,45.684021949768066,False,False,False
r3600_c3200,3600,3200,True,True,2,6.09408000230461,0.6655924314009629,0.3107664796953701,0.1394860515103398,9.99999931205977,0.4796229229973044,0.6763410778818822,0.2682423742339109,0.20586546033975722,0.6874278524456834,4,72.60233187675476,False,False,False
r3600_c3600,3600,3600,True,True,2,2.517934551380959,0.6876861107415615,0.6534801894718097,0.13413619942532737,9.999999999285649,0.5002119549178572,0.9218879676709545,0.2160840217699936,0.15025631389716076,0.6893605721622178,4,41.67436695098877,False,False,False
r3600_c4000,3600,4000,True,True,2,4.405375560478858,0.5953417606959374,0.41655991389599517,0.24633164088081505,9.999999999999998,0.8208309297820271,1.1367707394853246,0.045668400621594905,0.03339553481698145,1.0803958051796445,4,65.35000395774841,False,False,False
r3600_c4400,3600,4400,True,True,2,3.147386952215388,0.8155159365779826,0.45882481148018284,0.26184651208780396,9.999999999999998,0.8681793290539598,1.1131196771826715,0.19422174650209031,0.18903719065091282,1.2853641288568103,4,72.78028726577759,False,False,False
r3600_c4800,3600,4800,True,True,2,1.2798265384852532,0.5796662305646897,0.4022072586282335,0.22148996361272913,9.99999999998223,0.6361084971090775,1.3198133796853242,0.17171246833954057,0.1807263419039588,1.8775422275196478,4,111.46475577354431,False,False,False
r3600_c5200,3600,5200,True,True,2,4.621011312660446,0.5321593820680951,0.38238083815625257,0.3380560367903517,9.99999984092846,1.3754852190035665,2.1436707195120075,0.37959129028447447,0.30012300608741016,2.050574716634059,4,65.38739824295044,False,False,False
r3600_c800,3600,800,True,True,2,4.671755889848381,0.03545857157455803,0.028847814220726537,0.12203238349966876,2.017683425397392,0.5205927021671446,0.8209722907267615,0.14712358993125504,0.022265902512205584,448.3080377434527,4,28.134873867034912,False,False,False
r4000_c2400,4000,2400,True,True,2,4.9666364436083015,0.47337693769448325,0.3599251393731493,0.14164205940691724,9.999999999972598,0.5705466736426412,1.5795547665015313,0.3382112335619066,0.26925929939910476,8.592615232821597,4,28.48443913459778,False,False,False
r4000_c2800,4000,2800,True,True,2,5.741447978082254,0.40776994643532827,0.41432122877111355,0.15177556261504163,9.999999999998115,0.6895870154613225,2.3398844625829183,0.22541897101082445,0.2677057554683037,2.791265009724193,4,43.64700889587402,False,False,False
r4000_c3200,4000,3200,True,True,2,8.164795330111687,0.511165790991785,0.27870306547967444,0.27422848998772603,9.999999999999998,1.03066766000408,1.7637066268631605,0.3012046523501007,0.16422500909274546,3.8265162169546962,4,87.21340322494507,False,False,False
r4000_c3600,4000,3600,True,True,2,2.662753595869661,0.5968967255804833,0.17709062379360213,0.12250213541992033,9.999999948633073,0.4033584833088478,1.4494216412341203,0.03478107756496937,0.16868844689117773,3.95676266756089,4,58.55952525138855,False,False,False
r4000_c4000,4000,4000,True,True,2,5.916646964793725,0.2797997811135118,0.6860401410846103,0.08797515379240345,9.999999999999611,0.44637942537372927,0.9383149666243378,0.46825873950943264,0.5200241013090882,6.698517482914894,4,86.10679721832275,False,False,False
r4000_c4400,4000,4400,True,True,2,4.977144064448313,0.5135470341651641,0.5668463934351814,0.06568583501849436,9.999999999999998,0.4495277079948949,0.7904721594686429,0.4258654409676489,0.34890078389468215,2.1049072254515733,4,87.01682615280151,False,False,False
r4000_c4800,4000,4800,True,False,2,6.492283924668763,0.743459843228897,0.023805447249571884,0.022070373368471476,9.999996864927745,0.36727719761126754,0.46088172341766176,0.3432866272436317,0.016078845718042425,3.7296695801092152,4,1665.3350670337677,False,False,True
r4000_c5200,4000,5200,True,True,2,3.28447710771785,0.23658363866407398,0.00010991376668492998,0.031145217129808923,1.0000000000000009,0.515676493084401,1.4070448602881338,0.22643600039859785,0.592595630544797,11.954516066502503,4,53.95391082763672,False,True,True
