chunk,snr,band,r_lo,r_hi,r_mid,a1,a2,a3,alpha,beta,var_inf
r2800_c2000,6.46064,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.6609003322211005,0.7801231533768278,0.2491693797589034,0.3589527044662596,3.979070051962661,1.2078428695550136
r2800_c2000,6.46064,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.6999124601782047,0.9731614735708919,0.293497275395625,0.3964668969492583,1.362424239170268,1.3978245929523558
r2800_c2400,6.95587,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.07447458554329334,0.03116523549595505,0.026031563279581598,1.218380469578252,1.000000000007441,0.5224503969488637
r2800_c2400,6.95587,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.35903018022432426,0.13131403916279485,0.11012619428180279,0.8327745084425043,1.0000000101402535,1.0958404816539802
r2800_c2400,6.95587,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.5128584046430666,0.1882270077492093,0.14056602916929037,0.6982925213574824,1.0000000000000389,1.1285804132005883
r2800_c2400,6.95587,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,9.809309583756752,1.3743966331565058,0.7473216458266501,0.33394884238214023,9.999193500062406,1.373013410290455
r2800_c2400,6.95587,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,8.852472245709441,1.6349840718411033,0.9221016012050411,0.3664582648265983,9.999999999999998,1.5483345053434965
r2800_c2800,5.97031,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.17756367425328995,0.06531273449277981,0.03869375278666434,0.8015570900827675,9.999999999994904,0.5043192640109768
r2800_c2800,5.97031,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.6855943155418084,0.2829495478890728,0.14096935659862844,0.7513050714849414,1.0000000000577398,1.4109798521713468
r2800_c2800,5.97031,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.47493141498131264,0.22338479158052177,0.0942027217447106,0.6212400886958975,4.339583090281826,0.8548075071165226
r2800_c2800,5.97031,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,5.89984688178879,2.171192690636452,0.7243780350397011,0.4098057124112089,9.999940787450502,1.7899017779292397
r2800_c2800,5.97031,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.8897366552206896,1.030266091745992,0.3582567215858123,0.47985698890173917,9.999999999999998,1.426631553973516
r2800_c3200,4.5613,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.16416076570207522,0.05822062039743244,0.033423505336269206,0.8013236109064593,3.9383635155840775,0.9919895074335587
r2800_c3200,4.5613,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.401236046306392,0.10069546687582559,0.04691878756438162,0.6585335139942812,1.9300716808206446,1.2215175663266764
r2800_c3200,4.5613,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,1.1847325263275907,0.15504140588950918,0.048910041804110134,0.48687733091394436,1.2039556081328868,1.248785455851592
r2800_c3200,4.5613,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.2110439397943613,0.1753264649525452,0.05086567084762077,0.4385314244076313,1.1558428110967056,1.2198900856248631
r2800_c3200,4.5613,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.8860603622390295,0.31683675671876604,0.1124822005134574,0.30166376334206274,2.2819726140088052,1.2344344268584182
r2800_c3600,4.09829,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.12218177259720492,0.03698373294570154,0.03144109656794999,0.723354112482917,5.199015227498851,0.5663248529288725
r2800_c3600,4.09829,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.32386688592390417,0.06638771647135605,0.05814792243331886,0.7100543831686555,1.068088195540351,0.9605423097787904
r2800_c3600,4.09829,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.41669010291486475,0.07193222074093643,0.06686892331091832,0.5894987563664774,2.0323677501213875,0.8374051989669408
r2800_c3600,4.09829,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,0.7720375697272848,0.11219711987357109,0.08489313111071378,0.42103940303433096,2.2971174193742514,0.863007524910673
r2800_c3600,4.09829,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,0.9444329888586468,0.14160079260818154,0.12395887389613038,0.3259711934494585,9.999999998806361,0.8561095126235546
r2800_c400,4.05766,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.18964255428185917,0.08051983328616921,0.03948119172686591,0.7913283658525376,9.999999999992706,1.128540165368663
r2800_c400,4.05766,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.548839453340944,0.1249816389013454,0.0569325181784,0.7200460542203186,2.6229175062998693,1.4806302143861827
r2800_c400,4.05766,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.6035699618829562,0.12034498362531558,0.0513588939087802,0.6298259864809694,3.953328615715682,1.325644702108552
r2800_c400,4.05766,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.0699335290781573,0.20653839321963868,0.05097777676256442,0.4048551146345846,9.99999999996157,1.2596742518538702
r2800_c400,4.05766,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.0317982179689311,0.22753651873100542,0.04883329556334234,0.4113393434737242,9.999999999999998,1.2340880468173394
r2800_c800,5.51708,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.1425329983771593,0.0435798466984651,0.027823154141086746,0.9616823844481323,2.04931538111299,0.6266887374471208
r2800_c800,5.51708,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.7331834170207903,0.31026426324856277,0.16797646577175002,0.6768502716582363,9.996384000296445,1.8192696066343539
r2800_c800,5.51708,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.6166943623598599,0.14049562997991866,0.06352890649503357,0.5767790644224063,8.717507571599516,0.9208174034012703
r2800_c800,5.51708,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.781813715908119,0.42623249464454377,0.11284477807687832,0.3309190738594927,9.999999999931594,1.0120047064411342
r2800_c800,5.51708,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,0.9290238952626784,0.36457195086203054,0.097903277626296,0.4635980109954426,6.627485191701632,1.004313307243518
r3200_c2000,5.24356,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.47079214207543696,0.359325505994665,0.1165953916329026,0.49766886627174617,9.999999999999998,1.1161053331462585
r3200_c2000,5.24356,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.2908973880550094,0.886857965929269,0.22977750651829246,0.5922249464250839,9.999999999999998,2.072321480433201
r3200_c2000,5.24356,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.3819613458203306,1.623559419117651,0.36130407034101536,0.7469168636353822,9.999999999999998,3.999993220924672
r3200_c2000,5.24356,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.6879400348576532,0.9125781489976119,0.19432024675864043,0.8471998051461338,7.912699474028539,2.8917405181513196
r3200_c2000,5.24356,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,1.739415106732532,0.8742894343290688,0.19158920407273314,0.9632580042540297,2.445244231553254,3.276138978068297
r3200_c2400,6.55299,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.7776972763816624,0.31946367703526807,0.11165208193154098,0.5945072479881275,9.999999999999998,1.5391392125201426
r3200_c2400,6.55299,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,2.468306076423484,0.8872650020726306,0.23106699411059226,0.6619850640893413,9.999999999878451,2.9007560315944976
r3200_c2400,6.55299,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,3.922338276766904,1.5951215188709977,0.27485334693615726,0.7476676103389058,9.99999999999985,3.999999943340022
r3200_c2400,6.55299,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,4.144520487410631,1.2809562061780755,0.20535218096649446,0.9140184374656891,9.999999999999998,3.999999999999999
r3200_c2400,6.55299,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,5.065327141040078,1.1331990969969927,0.19280981654548301,1.0043256940425265,9.999999999998927,3.99999999999831
r3200_c2800,4.68058,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.5599367634230114,0.31524773919628296,0.11751295703762055,0.47199292454091396,9.999999999999998,1.2027409656083927
r3200_c2800,4.68058,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.5831035590386817,1.172605925552913,0.2367309730358187,0.5188867187802225,9.999999999999998,1.9848218353416707
r3200_c2800,4.68058,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.761126255102514,2.386098036049288,0.38171862960962905,0.6875534199307702,9.999999999999998,3.9118916972791817
r3200_c2800,4.68058,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,2.1432493062595324,1.428514766844388,0.18794955741644695,0.7416883802160998,7.1364896409764365,2.5706505586486372
r3200_c2800,4.68058,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,2.239102834912607,1.3781806103847134,0.17999375371634715,0.8136242109650406,3.3854147926697524,2.653643778405966
r3200_c800,4.33559,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,26.611345708344313,0.09275373499680455,0.07310381499882211,0.5592790753861167,9.999999999999998,1.168455800253932
r3200_c800,4.33559,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.6593140343683332,0.2921173428480746,0.21165074102734158,0.5330362375605632,9.99999825650132,2.0088246182523695
r3200_c800,4.33559,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.6635837737681105,0.1109042585336895,0.07938524110254662,0.4958127236246375,9.999999999999998,1.1419624652354274
r3200_c800,4.33559,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,11.79515353330205,1.4663338703863358,0.8164917019116199,0.4965095465244844,9.999999999999998,3.3323487463856054
r3200_c800,4.33559,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,6.785173727702801,1.2298335391050559,0.7126555586762604,0.6623111058727689,9.999999999999998,3.9999972515513695
